 ;" ";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Naravni prirast - moški";"Naravni prirast - ženske"
2005
 ;"Radovljica";99;95;84;83;15;12
 ;"Ravne na Koroškem";46;45;67;47;-21;-2
 ;"Razkrižje";5;10;4;4;1;6
 ;"Reèica ob Savinji";-;-;-;-;-;-
 ;"Renèe - Vogrsko";-;-;-;-;-;-
 ;"Ribnica";42;50;39;32;3;18
 ;"Ribnica na Pohorju";3;11;12;5;-9;6
 ;"Rogaška Slatina";56;49;34;39;22;10
 ;"Rogašovci";13;9;16;24;-3;-15
 ;"Rogatec";15;14;20;11;-5;3
 ;"Ruše";32;29;36;37;-4;-8
 ;"Selnica ob Dravi";22;16;24;18;-2;-2
 ;"Semiè";22;13;21;15;1;-2
 ;"Sevnica";65;83;93;85;-28;-2
 ;"Sežana";61;48;55;58;6;-10
 ;"Slovenj Gradec";82;75;72;65;10;10
 ;"Slovenska Bistrica";135;148;148;165;-13;-17
 ;"Slovenske Konjice";99;66;62;45;37;21
 ;"Sodražica";12;13;12;14;0;-1
 ;"Solèava";3;2;3;3;0;-1
 ;"Središèe ob Dravi";-;-;-;-;-;-
 ;"Starše";12;22;17;20;-5;2
 ;"Straža";-;-;-;-;-;-
 ;"Sveta Ana";12;17;12;14;0;3
 ;"Sveta Trojica v Slov. goricah";-;-;-;-;-;-
 ;"Sveti Andraž v Slov. goricah";4;6;6;9;-2;-3
 ;"Sveti Jurij ob Šèavnici";18;22;14;11;4;11
 ;"Sveti Jurij v Slov. goricah";-;-;-;-;-;-
 ;"Sveti Tomaž";-;-;-;-;-;-
 ;"Šalovci";4;2;14;20;-10;-18
 ;"Šempeter - Vrtojba";27;28;26;27;1;1
 ;"Šenèur";46;60;28;23;18;37
 ;"Šentilj";41;31;34;27;7;4
 ;"Šentjernej";32;45;42;26;-10;19
 ;"Šentjur";90;90;105;81;-15;9
 ;"Šentrupert";-;-;-;-;-;-
 ;"Škocjan";16;21;15;8;1;13
 ;"Škofja Loka";125;124;69;70;56;54
 ;"Škofljica";41;42;27;17;14;25
 ;"Šmarje pri Jelšah";49;41;47;50;2;-9
 ;"Šmarješke Toplice";-;-;-;-;-;-
 ;"Šmartno ob Paki";11;17;14;11;-3;6
 ;"Šmartno pri Litiji";23;28;25;24;-2;4
 ;"Šoštanj";48;40;31;31;17;9
 ;"Štore";18;20;19;18;-1;2
 ;"Tabor";5;9;6;8;-1;1
 ;"Tišina";17;27;19;27;-2;0
 ;"Tolmin";40;44;60;61;-20;-17
 ;"Trbovlje";82;68;89;116;-7;-48
 ;"Trebnje";100;98;77;76;23;22
 ;"Trnovska vas";11;5;3;6;8;-1
 ;"Trzin";20;21;9;13;11;8
 ;"Tržiè";68;63;63;58;5;5
 ;"Turnišèe";9;17;23;13;-14;4
 ;"Velenje";171;150;114;96;57;54
 ;"Velika Polana";6;7;4;7;2;0
 ;"Velike Lašèe";21;22;19;19;2;3
 ;"Veržej";2;4;8;7;-6;-3
 ;"Videm";22;18;24;33;-2;-15
 ;"Vipava";25;18;23;22;2;-4
 ;"Vitanje";9;15;11;11;-2;4
 ;"Vodice";26;20;12;20;14;0
 ;"Vojnik";40;39;50;38;-10;1
 ;"Vransko";9;14;16;6;-7;8
 ;"Vrhnika";111;92;53;64;58;28
 ;"Vuzenica";12;9;20;18;-8;-9
 ;"Zagorje ob Savi";81;80;91;89;-10;-9
 ;"Zavrè";9;9;13;10;-4;-1
 ;"Zreèe";39;28;24;19;15;9
 ;"Žalec";109;85;108;100;1;-15
 ;"Železniki";56;34;23;18;33;16
 ;"Žetale";8;4;15;5;-7;-1
 ;"Žiri";37;35;20;36;17;-1
