Ajdovsčina
KostanjeviCa na Krki
 ;"2010";10;13;14;12;-4;1;9.5;10.7;-1.2
 ;"2011";20;11;5;8;15;3;12.9;5.4;7.5
 ;"2012";15;17;13;14;2;3;13.2;11.2;2.1
 ;"2013";8;12;13;10;-5;2;8.3;9.5;-1.2
 ;"2014";18;12;5;6;13;6;12.4;4.5;7.8
Kostel
 ;"2010";5;1;2;4;3;-3;9.1;9.1;0.0
 ;"2011";1;0;4;7;-3;-7;1.5;16.9;-15.4
 ;"2012";4;1;4;6;0;-5;7.8;15.6;-7.8
 ;"2013";2;1;1;3;1;-2;4.6;6.2;-1.5
 ;"2014";4;2;2;4;2;-2;9.3;9.3;0.0
Kozje
 ;"2010";14;21;10;11;4;10;10.8;6.5;4.3
 ;"2011";14;12;17;20;-3;-8;8.0;11.4;-3.4
 ;"2012";17;14;18;23;-1;-9;9.7;12.8;-3.1
 ;"2013";11;13;33;16;-22;-3;7.6;15.5;-7.9
 ;"2014";15;14;17;28;-2;-14;9.3;14.5;-5.2
Kranj
 ;"2010";355;316;220;211;135;105;12.2;7.9;4.4
 ;"2011";340;322;213;187;127;135;12.0;7.2;4.7
 ;"2012";338;290;218;204;120;86;11.3;7.6;3.7
 ;"2013";316;335;204;210;112;125;11.7;7.5;4.3
 ;"2014";319;294;221;173;98;121;11.0;7.1;3.9
Kranjska Gora
 ;"2010";27;26;20;24;7;2;10.0;8.3;1.7
 ;"2011";26;15;28;13;-2;2;7.7;7.7;0.0
 ;"2012";22;11;32;20;-10;-9;6.2;9.7;-3.6
 ;"2013";18;20;39;40;-21;-20;7.2;14.9;-7.7
 ;"2014";25;18;34;41;-9;-23;8.0;14.0;-6.0
KrizevCi
 ;"2010";20;16;28;29;-8;-13;9.6;15.2;-5.6
 ;"2011";17;19;20;19;-3;0;9.5;10.3;-0.8
 ;"2012";24;14;24;22;0;-8;10.1;12.2;-2.1
 ;"2013";17;10;21;20;-4;-10;7.2;10.9;-3.7
 ;"2014";11;11;25;17;-14;-6;5.9;11.3;-5.4
Krsko
 ;"2010";160;136;145;130;15;6;11.5;10.6;0.8
 ;"2011";142;165;124;133;18;32;11.9;10.0;1.9
 ;"2012";151;149;139;133;12;16;11.5;10.5;1.1
 ;"2013";156;149;130;132;26;17;11.7;10.1;1.7
 ;"2014";137;140;118;119;19;21;10.7;9.2;1.5
Kungota
 ;"2010";28;26;24;11;4;15;11.4;7.4;4.0
 ;"2011";18;23;21;15;-3;8;8.6;7.5;1.0
 ;"2012";30;16;14;20;16;-4;9.6;7.1;2.5
 ;"2013";20;18;14;14;6;4;7.9;5.8;2.1
 ;"2014";23;19;14;13;9;6;8.8;5.6;3.1
Kuzma
 ;"2010";10;2;15;19;-5;-17;7.5;21.1;-13.7
 ;"2011";11;9;7;14;4;-5;12.5;13.1;-0.6
 ;"2012";13;7;16;16;-3;-9;12.7;20.3;-7.6
 ;"2013";7;9;13;15;-6;-6;10.1;17.6;-7.6
 ;"2014";13;8;14;9;-1;-1;13.1;14.3;-1.2
Lasko
 ;"2010";68;74;102;95;-34;-21;10.4;14.5;-4.0
 ;"2011";76;65;85;75;-9;-10;10.4;11.8;-1.4
 ;"2012";66;74;83;95;-17;-21;10.4;13.2;-2.8
 ;"2013";60;71;69;77;-9;-6;9.8;10.9;-1.1
 ;"2014";61;51;74;99;-13;-48;8.4;13.0;-4.6
Lenart
 ;"2010";44;19;51;55;-7;-36;7.8;13.1;-5.3
 ;"2011";42;42;52;61;-10;-19;10.3;13.8;-3.5
 ;"2012";52;49;58;58;-6;-9;12.4;14.2;-1.8
 ;"2013";48;36;54;49;-6;-13;10.3;12.7;-2.3
 ;"2014";47;39;51;80;-4;-41;10.4;15.9;-5.5
Lendava/Lendva
 ;"2010";36;36;69;70;-33;-34;6.5;12.5;-6.0
 ;"2011";36;40;70;73;-34;-33;6.9;13.0;-6.1
 ;"2012";44;43;51;83;-7;-40;8.0;12.3;-4.3
 ;"2013";32;48;69;68;-37;-20;7.5;12.8;-5.3
 ;"2014";39;39;81;77;-42;-38;7.4;14.9;-7.5
Litija
 ;"2010";93;81;58;44;35;37;11.7;6.9;4.9
 ;"2011";116;84;63;37;53;47;13.4;6.7;6.7
 ;"2012";81;75;55;35;26;40;10.4;6.0;4.4
 ;"2013";88;82;49;45;39;37;11.3;6.3;5.1
 ;"2014";82;80;72;40;10;40;10.8;7.5;3.3
Ljubljana
 ;"2010";1663;1519;1144;1113;519;406;11.4;8.1;3.3
